step,MSD
0,0.0
1,1.199813999762462
2,2.4633329387514267
3,3.613347908518451
4,4.726756160785475
5,5.858409581733967
6,7.008098214607769
7,8.284392129580121
8,9.482770685342745
9,10.535247405033603
10,11.71981198856104
11,13.113702976336164
12,14.28916831551007
13,15.618957765543405
14,16.55929207190442
15,17.671065651481367
16,18.751756786212646
17,19.790085327973436
18,20.965788699421392
19,22.071487696321462
20,23.052860549108836
21,24.39961681158269
22,25.85990695192713
23,26.832147305456942
24,28.390282219041794
25,29.924978771914905
26,31.364720389347294
27,32.54526668072347
28,34.17959586745716
29,35.39613084148023
30,37.05864453985351
31,38.622864440074245
32,40.30367157146152
33,41.61706088181565
34,42.75403817975844
35,44.34642255098073
36,45.59370285782696
37,46.8052453378994
38,48.02835469888698
39,49.60900782617962
40,51.06468274677689
41,52.45553552675
42,53.526004853001595
43,54.63772989054186
44,55.44890587352033
45,56.982363969428725
46,58.28774471738641
47,59.497990395078205
48,61.07379124183374
49,62.739351968708256
50,64.27596661609275
51,64.941673355527
52,66.46581544473837
53,67.67410188661393
54,69.42055305091453
55,71.03918622750221
56,72.68142435279118
57,74.33346718543979
58,76.05405111370867
59,77.77264575186011
60,80.19356423730025
61,82.30477070512394
62,83.61749986416446
63,84.3872623226289
64,85.67347081084482
65,87.00959709648403
66,89.29074314442842
67,90.71079136357741
68,91.33518777191395
69,93.50661805749361
70,95.48189491465222
71,98.32749809902592
72,101.02573444477335
73,103.18253648662974
74,105.63725388438094
75,106.89247229322025
76,109.25515352740304
77,110.27839022228227
78,112.55096070655603
79,113.53731646459133
80,115.36901587416706
81,117.11924599577608
82,117.75981581946722
83,119.62184792349815
84,121.84206797280096
85,124.3746520598117
86,125.2373374220029
87,128.34502664569504
88,130.54190407675347
89,133.59234859166494
90,135.66846828353408
91,136.65826212883653
92,138.53796605408513
93,139.85556737417932
94,141.54347177470603
95,143.3050696561585
96,145.23938350686842
97,147.55486556625877
98,149.5038154901129
99,152.62618505612406
100,154.78560803049822
101,155.8739788738815
102,157.44469093503585
103,159.57897328058485
104,161.28062282459427
105,162.86977845875668
106,163.27716905699296
107,165.01232732256943
108,165.97878312720226
109,167.97232536395722
110,170.17000355796563
111,173.33256133715815
112,175.63092363598918
113,178.1141973409336
114,181.11763702752674
115,182.65149599446588
116,184.74133604893902
117,186.32372173665135
118,187.37787642084896
119,189.05777624394926
120,190.55517754598276
121,192.61443588110558
122,194.4904109123877
123,196.3320618247261
124,198.44158274594506
125,200.16276948260986
126,204.00972028013004
127,207.901551545321
128,210.3928479935323
129,211.03792262816657
130,214.07933791222771
131,216.78673406393952
132,217.5091274768316
133,221.15520697647355
134,223.25666983410554
135,225.76055614512592
136,227.01550416809366
137,229.94174628080876
138,231.724227131115
139,233.71576967848168
140,234.51953798010905
141,236.71942802444076
142,238.9012381107247
143,240.72881486016274
144,241.54907578270462
145,243.56342914121726
146,246.7794685350124
147,247.16011502794154
148,248.40992309351918
149,251.78195859201992
150,254.46368388989626
151,255.07916115196014
152,258.2738630013331
153,260.7277522811056
154,261.7136769896602
155,264.2145248180017
156,266.10115583453137
157,268.86810958384666
158,272.897312915615
159,275.45160964677586
160,279.48462733366455
161,283.29031054060687
162,284.88575329685074
163,286.28654825290386
164,288.187074133474
165,290.50736005240867
166,292.44398218267986
167,295.75830381959764
168,298.88047867325065
169,300.9070999449609
170,303.4400905332877
171,306.9298020893907
172,309.60080828645846
173,314.3727601838308
174,316.70052212300794
175,318.80819402541863
176,321.083479122643
177,324.2851304481175
178,327.6505215122694
179,329.56681616892934
180,331.0601373764771
181,331.9278193255415
182,336.16243101893343
183,338.21220436435846
184,340.4119184606133
185,343.06018093852157
186,346.391146599811
187,347.1396199397244
188,349.8476579814465
189,351.1725955384042
190,352.6741006801027
191,355.2239276055935
192,356.964798466057
193,357.56814582616073
194,360.62320735798255
195,362.7998024811521
196,364.0973398125656
197,366.1610913537694
198,366.794885413989
199,368.08667885191096
200,369.20053225915296
201,370.6500113369249
202,373.7385238749818
203,376.74336592049895
204,378.8567120358934
205,380.4294859629003
206,381.7183298817441
207,383.0850788458419
208,385.88827872488207
209,389.18829939119496
210,390.1543247883054
211,391.8519914474858
212,395.65199856228764
213,399.5484233494613
214,403.4667075561864
215,405.88104814785163
216,410.0206179027412
217,413.09588946999975
218,414.58334721740084
219,415.0932142684307
220,417.18991472281886
221,420.8649218899255
222,422.36533326829215
223,425.3752976312738
224,429.0405523280407
225,430.95868765966037
226,431.42094954002414
227,432.89824203121196
228,435.02074831377786
229,440.1585378866126
230,443.59070129815757
231,444.97110844159647
232,448.0966294340253
233,451.6141835955001
234,451.89184053173847
235,453.3596609191033
236,457.18021458192146
237,460.286454047888
238,460.3814034745562
239,463.6050215948692
240,464.4268987912169
241,466.120228352295
242,467.60322297184996
243,467.9936873893645
244,472.6180729395908
245,475.7422846002586
246,480.59000045312246
247,483.98390470513726
248,487.4053986539127
249,490.9992530863001
250,494.1512949982516
251,495.27525662221467
252,497.24666897798085
253,498.7317939810787
254,500.7727602769849
255,503.9279729268701
256,505.35816397430114
257,509.2011724589067
258,513.6537698653955
259,519.7276506006485
260,523.7854528597006
261,526.2598634730016
262,528.9279933209042
263,528.6302840561608
264,530.1517137134013
265,533.9111592563288
266,537.4323611570743
267,541.3294589451265
268,543.2647874230536
269,545.8258069324227
270,548.8480856110673
271,550.4163760236548
272,551.7124895307097
273,553.3650978003446
274,556.4072611436065
275,559.0656390779907
276,562.5651288144413
277,562.3302374208861
278,564.2759351287291
279,568.4337925390345
280,569.5969667070408
281,572.2269388371523
282,576.481215410964
283,575.8252675305065
284,578.0012137977362
285,579.6304440232441
286,581.5254467792513
287,584.6796115000092
288,586.2735851014631
289,590.3129732412809
290,592.6439563956405
291,594.5311014725277
292,597.9462643063181
293,600.7817061859097
294,601.4276669394205
295,601.8028594611754
296,602.8895511343891
297,605.9169625460148
298,609.4591716532211
299,611.8377950269468
300,612.6740246163984
301,617.85125667153
302,620.1972468993476
303,623.2927518375498
304,625.6435296585844
305,627.1939764598399
306,632.6564753258606
307,634.9185212873574
308,636.3136163496243
309,639.7449012114389
310,642.4694048887392
311,646.3639764784753
312,650.022042969268
313,653.7065301226945
314,658.4476989143537
315,659.1682060834102
316,660.5017770177284
317,661.2154283710607
318,664.9625124066198
319,665.2893682626873
320,667.7615450678428
321,670.1479148928705
322,673.8929650910594
323,677.1714741776923
324,679.3679727861557
325,683.6034621486959
326,685.7866372540087
327,688.6780312214019
328,692.2262524887446
329,691.9370840003113
330,695.2421053331478
331,697.9406784492219
332,699.8054213045191
333,700.158670537343
334,703.1258041669441
335,707.4745962423445
336,707.4806450328899
337,709.691762471376
338,716.125109158091
339,715.6789921464816
340,718.2747034750024
341,723.2325629397822
342,724.38251524992
343,727.365579446042
344,729.8105650909351
345,731.2546871031705
346,733.8801184045216
347,737.2312791330612
348,739.3016759045917
349,743.7640242669016
350,745.0595666799112
351,746.9464521385457
352,750.9108937905954
353,754.1279570863336
354,754.7382669042393
355,758.0302338431708
356,760.5429286239784
357,763.1379616580459
358,764.0948826322474
359,766.992807902446
360,767.6352418072061
361,770.7721062440863
362,772.8102942285138
363,775.4734225892697
364,776.6500455897445
365,779.9151036816039
366,778.0820193677956
367,779.2451817378255
368,780.4220440392494
369,783.546862495363
370,783.5287481408442
371,787.3733876148818
372,790.9337813963758
373,792.265041693464
374,794.8756646190641
375,797.3435231804708
376,799.310737329878
377,798.0863249521749
378,802.2527121061783
379,806.3084583533907
380,808.5369970904964
381,812.9962376374793
382,812.9263371815258
383,814.7658343915572
384,818.9073085525932
385,821.0982315739861
386,823.3818198733135
387,823.8367932684147
388,826.6247277869595
389,828.6906842729991
390,828.4545946800371
391,832.1742650405915
392,835.4401402319037
393,836.1348831572407
394,838.4605322803242
395,842.4265873512363
396,841.910688246144
397,843.5727705770412
398,847.2220220520696
399,850.0229296137834
400,849.639462462284
401,852.3154087389389
402,856.7464802589686
403,858.5970782932189
404,860.8360388663872
405,862.4397772901771
406,862.0366930743222
407,865.5363935348715
408,866.2613839711998
409,866.849374059333
410,866.2222214825545
411,865.4117784943278
412,867.7374555672835
413,870.1956381591247
414,871.9378295595017
415,875.6448018983349
416,876.6692531818994
417,879.105690995503
418,883.0232498167211
419,883.9624078728233
420,886.7796553119462
421,891.2387582568517
422,895.5256420962661
423,895.8041929206527
424,896.7878709320032
425,897.3820096185871
426,900.7781159064433
427,903.526240287816
428,905.7477153951779
429,905.6586951527262
430,907.7789206266367
431,910.6622920396593
432,912.281044782501
433,913.7993116172153
434,916.2864288199709
435,917.725705901219
436,919.5266228801598
437,922.2294058637864
438,922.135702441668
439,924.9829495343077
440,926.4795775739171
441,927.7743791916014
442,931.7636628347957
443,935.193534968299
444,938.1258326948886
445,937.4746646943988
446,941.0099848274223
447,940.5397757933772
448,942.962295057855
449,945.1729221230503
450,947.7641761139284
451,949.3255073742309
452,953.0240576217215
453,956.1825022494593
454,961.4716878947767
455,964.610608264184
456,966.7964336390595
457,966.744722628365
458,968.6367032511756
459,973.1687085128025
460,976.5702274514725
461,977.6793814031356
462,980.0445329778895
463,979.9446652490432
464,980.7154015474887
465,983.3933616734478
466,990.4311336861127
467,993.0715717900038
468,993.9105498383448
469,999.6310429004724
470,1001.4511488175805
471,1003.5118499782728
472,1006.4464341014382
473,1008.4785889036749
474,1010.562009536645
475,1012.2103728970854
476,1013.3113080032025
477,1019.435879777828
478,1020.5149420868883
479,1024.4472776092073
480,1024.2889818767028
481,1026.666416261059
482,1028.9220473231508
483,1029.5841551529402
484,1029.9705656211913
485,1032.3100525259483
486,1032.4069576520667
487,1036.0783815532764
488,1038.6396610305833
489,1038.9127769115244
490,1042.1270383613598
491,1044.1158105225647
492,1046.6178233274586
493,1049.4683937253342
494,1053.032115775545
495,1054.3852913749688
496,1052.28310039193
497,1057.6170289085342
498,1059.3208589548058
499,1060.7692367959553
